source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type 
eosat,eogs1,1749842.265,1750295.688,8000000,0.057,low_dl
eosat,eogs1,1772858.741,1773342.958,8000000,0.057,low_dl
eogs1,eosat,1772858.741,1773342.958,64000,0.057,low_ul
eosat,eogs2,1776199.776,1776626.183,10000000000,0.057,high_dl
eogs1,eosat,1796312.666,1796688.426,64000,0.057,low_ul
eosat,eogs1,1796312.666,1796688.426,8000000,0.057,low_dl
eosat,eogs2,1822285.792,1822770.729,10000000000,0.057,high_dl
eosat,eogs1,1843048.369,1843431.802,8000000,0.057,low_dl
eogs1,eosat,1843048.369,1843431.802,64000,0.057,low_ul
eosat,eogs2,1863625.467,1864083.505,10000000000,0.057,high_dl
eosat,eogs1,1866054.741,1866588.187,8000000,0.057,low_dl
eogs1,eosat,1866054.741,1866588.187,64000,0.057,low_ul
eosat,eogs1,1889638.257,1890022.546,8000000,0.057,low_dl
eogs1,eosat,1889638.257,1890022.546,64000,0.057,low_ul
eosat,eogs2,1903991.010,1904363.167,10000000000,0.057,high_dl
eogs1,eosat,1913061.416,1913592.476,64000,0.057,low_ul
eosat,eogs1,1913061.416,1913592.476,8000000,0.057,low_dl
eogs1,eosat,1936205.811,1936594.186,64000,0.057,low_ul
eosat,eogs1,1936205.811,1936594.186,8000000,0.057,low_dl
eosat,eogs2,1951051.670,1951535.708,10000000000,0.057,high_dl
eogs1,eosat,1959330.953,1959849.276,64000,0.057,low_ul
eosat,eogs1,1959330.953,1959849.276,8000000,0.057,low_dl
eogs1,eosat,1982966.689,1983400.554,64000,0.057,low_ul
eosat,eogs1,1982966.689,1983400.554,8000000,0.057,low_dl
eosat,eogs1,2006304.726,2006781.045,8000000,0.057,low_dl
eogs1,eosat,2029342.678,2029804.626,64000,0.057,low_ul
eosat,eogs1,2029342.678,2029804.626,8000000,0.057,low_dl
eosat,eogs2,2032659.424,2033022.217,10000000000,0.057,high_dl
eosat,eogs1,2052681.728,2053130.197,8000000,0.057,low_dl
eogs1,eosat,2052681.728,2053130.197,64000,0.057,low_ul
eosat,eogs1,2076252.743,2076761.354,8000000,0.057,low_dl
eogs1,eosat,2076252.743,2076761.354,64000,0.057,low_ul
eosat,eogs2,2078780.587,2079223.278,10000000000,0.057,high_dl
eogs1,eosat,2099522.064,2099920.941,64000,0.057,low_ul
eosat,eogs1,2099522.064,2099920.941,8000000,0.057,low_dl
eosat,eogs2,2120083.849,2120487.995,10000000000,0.057,high_dl
eogs1,eosat,2122519.149,2123044.346,64000,0.057,low_ul
eosat,eogs1,2122519.149,2123044.346,8000000,0.057,low_dl
eosat,eogs1,2146062.047,2146124.000,8000000,0.057,low_dl
eosat,eogs1,2146125.000,2146239.000,8000000,0.057,low_dl
