source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type 
mr2,mre3,444468.871,445968.871,150000000,0.076,low_ul
mre3,mr2,444468.871,445968.871,10000000,0.076,low_dl
mgs1,mre1,451481.795,457725.354,300000000,1200.810,trunk
mre1,mgs1,451481.795,457725.354,300000000,1200.810,high_dl
mgs1,mre1,458577.077,464831.966,300000000,1200.779,trunk
mre1,mgs1,458577.077,464831.966,300000000,1200.779,high_dl
mgs2,mre3,464309.488,478709.488,300000000,1200.780,trunk
mre3,mgs2,464309.488,478709.488,300000000,1200.780,high_dl
mgs1,mre1,465672.242,470018.607,300000000,1200.750,trunk
mre1,mgs1,465672.242,470018.607,300000000,1200.750,high_dl
mr2,mre2,470598.814,471119.906,150000000,0.053,low_ul
mre2,mr2,470598.814,471119.906,10000000,0.053,low_dl
mr1,mre3,471341.506,472841.506,150000000,0.076,low_ul
mre3,mr1,471341.506,472841.506,10000000,0.076,low_dl
mgs2,mre2,481608.320,485952.626,300000000,1200.668,trunk
mre2,mgs2,481608.320,485952.626,300000000,1200.668,trunk
mr2,mre3,481919.906,483419.906,150000000,0.076,low_ul
mre3,mr2,481919.906,483419.906,10000000,0.076,low_dl
mr1,mre3,507706.603,509206.603,150000000,0.076,low_ul
mre3,mr1,507706.603,509206.603,10000000,0.076,low_dl
mgs1,mre3,512149.584,526549.584,300000000,1200.508,trunk
mre3,mgs1,512149.584,526549.584,300000000,1200.508,high_dl
mr2,mre2,513632.524,513977.311,150000000,0.053,low_ul
mre2,mr2,513632.524,513977.311,10000000,0.053,low_dl
mr2,mre3,524777.311,526277.311,150000000,0.076,low_ul
mre3,mr2,524777.311,526277.311,10000000,0.076,low_dl
mgs1,mre1,529523.138,535904.942,300000000,1200.413,trunk
mre1,mgs1,529523.138,535904.942,300000000,1200.413,high_dl
mgs1,mre1,536617.033,543012.977,300000000,1200.376,trunk
mre1,mgs1,536617.033,543012.977,300000000,1200.376,high_dl
mgs1,mre1,543710.749,550121.203,300000000,1200.343,trunk
mre1,mgs1,543710.749,550121.203,300000000,1200.343,high_dl
mr1,mre3,547098.505,548598.505,150000000,0.076,low_ul
mre3,mr1,547098.505,548598.505,10000000,0.076,low_dl
mgs2,mre2,550641.272,553032.158,300000000,1200.305,trunk
mre2,mgs2,550641.272,553032.158,300000000,1200.305,trunk
mgs1,mre1,550804.263,556367.789,300000000,1200.314,trunk
mre1,mgs1,550804.263,556367.789,300000000,1200.314,high_dl
mgs2,mre2,555403.548,559740.127,300000000,1200.292,trunk
mre2,mgs2,555403.548,559740.127,300000000,1200.292,trunk
mr2,mre3,556376.083,557876.083,150000000,0.076,low_ul
mre3,mr2,556376.083,557876.083,10000000,0.076,low_dl
mr1,mre1,560942.572,561606.482,150000000,0.054,low_ul
mre1,mr1,560942.572,561606.482,10000000,0.054,low_dl
mgs2,mre2,562112.204,566448.096,300000000,1200.255,trunk
mre2,mgs2,562112.204,566448.096,300000000,1200.255,trunk
mgs2,mre2,568820.858,573156.065,300000000,1200.221,trunk
mre2,mgs2,568820.858,573156.065,300000000,1200.221,trunk
mr1,mre3,583331.589,584831.589,150000000,0.076,low_ul
mre3,mr1,583331.589,584831.589,10000000,0.076,low_dl
mr2,mre3,594037.393,595537.393,150000000,0.076,low_ul
mre3,mr2,594037.393,595537.393,10000000,0.076,low_dl
mgs1,mre3,598526.827,612926.827,300000000,1200.094,trunk
mre3,mgs1,598526.827,612926.827,300000000,1200.094,high_dl
mr1,mre1,606389.699,607088.250,150000000,0.054,low_ul
mre1,mr1,606389.699,607088.250,10000000,0.054,low_dl
mr2,mre2,607490.885,607876.165,150000000,0.053,low_ul
mre2,mr2,607490.885,607876.165,10000000,0.053,low_dl
mgs1,mre1,614634.544,621217.627,300000000,1199.973,trunk
mre1,mgs1,614634.544,621217.627,300000000,1199.973,high_dl
mr1,mre3,621246.833,622746.833,150000000,0.076,low_ul
mre3,mr1,621246.833,622746.833,10000000,0.076,low_dl
