source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type # Simulation starting time: 2026-01-01T00:00:00 UTC
lgw,lgs1,482414.822,519007.084,100000000,1.352,high_dl
lgs1,lre1,484334.796,519301.884,300000000,1.278,low_ul
lre1,lgs1,484334.796,519301.884,100000000,1.278,high_dl
lgs1,lb,484797.337,519311.905,50000000,1.304,dwe_ul
lb,lgs1,484797.337,519311.905,250000000,1.304,dwe_dl
lgs3,lre2,487498.048,491613.783,300000000,1.311,low_ul
lre2,lgs3,487498.048,491613.783,100000000,1.311,high_dl
lre2,lgw,491199.983,575447.553,150000000,0.252,prox
lgw,lre2,491199.983,575447.553,150000000,0.252,prox
lgw,lre2,491199.983,575447.553,150000000,0.252,prox
lre2,lgw,491199.983,575447.553,150000000,0.252,prox
lb,lre2,497598.295,568722.507,150000000,0.073,low_ul
lre2,lb,497598.295,568722.507,1000000000,0.073,high_dl
lgs2,lre2,510555.933,551516.223,300000000,1.290,low_ul
lre2,lgs2,510555.933,551516.223,100000000,1.290,high_dl
lgs2,lgw,510642.670,550157.306,300000000,1.352,low_ul
lgw,lgs2,510642.670,550157.306,1000000000,1.352,high_dl
lgs2,lb,510681.487,528696.479,50000000,1.310,dwe_ul
lb,lgs2,510681.487,528696.479,250000000,1.310,dwe_dl
lb,lre1,525268.308,596691.026,150000000,0.071,low_ul
lre1,lb,525268.308,596691.026,1000000000,0.071,high_dl
lgs3,lgw,538660.206,578168.402,300000000,1.350,low_ul
lgw,lgs3,538660.206,578168.402,100000000,1.350,high_dl
lgs3,lre2,538824.150,570998.631,300000000,1.321,low_ul
lre2,lgs3,538824.150,570998.631,100000000,1.321,high_dl
lgs3,lre1,539487.152,579157.609,300000000,1.314,low_ul
lre1,lgs3,539487.152,579157.609,100000000,1.314,high_dl
lrov,lre2,548233.833,574909.845,150000000,0.099,low_ul
lre2,lrov,548233.833,574909.845,1000000000,0.099,high_dl
lgs1,lgw,571432.416,608939.607,300000000,1.347,low_ul
lgw,lgs1,571432.416,608939.607,100000000,1.347,high_dl
lgs1,lre1,572514.269,609629.293,300000000,1.300,low_ul
lre1,lgs1,572514.269,609629.293,100000000,1.300,high_dl
lgs1,lb,572910.740,586810.346,50000000,1.325,dwe_ul
lb,lgs1,572910.740,586810.346,250000000,1.325,dwe_dl
lgs3,lre2,574169.624,579673.632,300000000,1.330,low_ul
lre2,lgs3,574169.624,579673.632,100000000,1.330,high_dl
lre2,lgw,577788.270,632081.593,150000000,0.172,prox
lgw,lre2,577788.270,632081.593,150000000,0.172,prox
lgw,lre2,577788.270,632081.593,150000000,0.172,prox
lre2,lgw,577788.270,632081.593,150000000,0.172,prox
lb,lre2,583987.043,655099.747,150000000,0.073,low_ul
lre2,lb,583987.043,655099.747,1000000000,0.073,high_dl
lgs2,lgw,600623.583,639947.342,300000000,1.343,low_ul
lgw,lgs2,600623.583,639947.342,1000000000,1.343,high_dl
lgs2,lre2,601035.059,639259.922,300000000,1.310,low_ul
lre2,lgs2,601035.059,639259.922,100000000,1.310,high_dl
lrov,lre1,605957.178,612230.946,150000000,0.058,low_ul
lre1,lrov,605957.178,612230.946,1000000000,0.058,high_dl
lb,lre1,611658.024,683094.226,150000000,0.071,low_ul
lre1,lb,611658.024,683094.226,1000000000,0.071,high_dl
lgs3,lgw,628946.345,667041.159,300000000,1.338,low_ul
lgw,lgs3,628946.345,667041.159,100000000,1.338,high_dl
lgs3,lre2,628962.813,658832.170,300000000,1.340,low_ul
lre2,lgs3,628962.813,658832.170,100000000,1.340,high_dl
