source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type 
lgs2,lre2,1589962.038,1615408.993,300000000,1.336,low_ul
lgw,lgs2,1593278.566,1612745.831,1000000000,1.415,high_dl
lgs2,lgw,1593278.566,1612745.831,300000000,1.415,low_ul
lre2,lgs3,1616811.12,1645401.526,100000000,1.369,high_dl
lgs3,lre2,1616811.12,1645401.526,300000000,1.369,low_ul
lgw,lgs3,1618348.667,1643307.864,100000000,1.407,high_dl
lgs3,lgw,1618348.667,1643307.864,300000000,1.407,low_ul
lgw,lre1,1635483.576,1639083.576,150000000,0.29,prox
lre1,lgw,1635483.576,1639083.576,150000000,0.29,prox
lre1,lgs1,1639895.042,1683677.623,100000000,1.351,high_dl
lgs1,lre1,1639895.042,1683677.623,300000000,1.351,low_ul
lgw,lgs1,1643307.864,1679457.219,100000000,1.4,high_dl
lgs1,lgw,1643307.864,1679457.219,300000000,1.4,low_ul
lrov,lre1,1667728.158,1723686.14,150000000,0.098,low_ul
lre1,lrov,1667728.158,1723686.14,1000000000,0.098,high_dl
lre2,lgs2,1677703.714,1701590.422,100000000,1.327,high_dl
lgs2,lre2,1677703.714,1701590.422,300000000,1.327,low_ul
lgw,lgs2,1679457.219,1704646.538,1000000000,1.383,high_dl
lgs2,lgw,1679457.219,1704646.538,300000000,1.383,low_ul
lgw,lgs3,1705060.289,1734522.472,100000000,1.371,high_dl
lgs3,lgw,1705060.289,1734522.472,300000000,1.371,low_ul
lre2,lgs3,1706654.12,1735898.886,100000000,1.362,high_dl
lgs3,lre2,1706654.12,1735898.886,300000000,1.362,low_ul
lgw,lre1,1724586.14,1726171.162,150000000,0.255,prox
lre1,lgw,1724586.14,1726171.162,150000000,0.255,prox
lre1,lgs1,1729663.771,1772016.067,100000000,1.334,high_dl
lgs1,lre1,1729663.771,1772016.067,300000000,1.334,low_ul
lgw,lgs1,1734522.472,1765148.71,100000000,1.359,high_dl
lgs1,lgw,1734522.472,1765148.71,300000000,1.359,low_ul
lrov,lre1,1761660.637,1811357.442,150000000,0.102,low_ul
lre1,lrov,1761660.637,1811357.442,1000000000,0.102,high_dl
lgw,lgs2,1765148.71,1797640.976,1000000000,1.341,high_dl
lgs2,lgw,1765148.71,1797640.976,300000000,1.341,low_ul
lre2,lgs2,1765308.518,1788214.599,100000000,1.318,high_dl
lgs2,lre2,1765308.518,1788214.599,300000000,1.318,low_ul
lb,lre1,1782009.954,1801080.711,150000000,0.072,low_ul
lre1,lb,1782009.954,1801080.711,1000000000,0.072,high_dl
lre2,lgs2,1791960.209,1797277.63,100000000,1.348,high_dl
lgs2,lre2,1791960.209,1797277.63,300000000,1.348,low_ul
lre2,lgs3,1797277.63,1826292.042,100000000,1.353,high_dl
lgs3,lre2,1797277.63,1826292.042,300000000,1.353,low_ul
lgw,lgs3,1797640.976,1826646.859,100000000,1.333,high_dl
lgs3,lgw,1797640.976,1826646.859,300000000,1.333,low_ul
lb,lgw,1801080.711,2342584.302,150000000,0.085,low_ul
lgw,lb,1801080.711,2342584.302,1000000000,0.085,high_dl
lgw,lre1,1812257.442,1815857.442,150000000,0.107,prox
lre1,lgw,1812257.442,1815857.442,150000000,0.107,prox
lre1,lgs1,1819512.422,1860194.298,100000000,1.319,high_dl
lgs1,lre1,1819512.422,1860194.298,300000000,1.319,low_ul
lgw,lgs1,1826646.859,1854072.777,100000000,1.341,high_dl
lgs1,lgw,1826646.859,1854072.777,300000000,1.341,low_ul
lre2,lgs2,1852878.589,1875385.347,100000000,1.309,high_dl
lgs2,lre2,1852878.589,1875385.347,300000000,1.309,low_ul
lgw,lgs2,1854072.777,1888022.575,1000000000,1.35,high_dl
lgs2,lgw,1854072.777,1888022.575,300000000,1.35,low_ul
lrov,lre1,1854302.055,1898453.02,150000000,0.104,low_ul
lre1,lrov,1854302.055,1898453.02,1000000000,0.104,high_dl
lre2,lgs2,1878071.222,1887804.718,100000000,1.333,high_dl
lgs2,lre2,1878071.222,1887804.718,300000000,1.333,low_ul
lre2,lgs3,1887804.718,1916599.964,100000000,1.344,high_dl
lgs3,lre2,1887804.718,1916599.964,300000000,1.344,low_ul
lgw,lgs3,1888022.575,1916687.612,100000000,1.356,high_dl
lgs3,lgw,1888022.575,1916687.612,300000000,1.356,low_ul
lre1,lgs1,1909480.969,1948287.974,100000000,1.305,high_dl
lgs1,lre1,1909480.969,1948287.974,300000000,1.305,low_ul
lgw,lgs1,1916687.612,1950259.321,100000000,1.361,high_dl
lgs1,lgw,1916687.612,1950259.321,300000000,1.361,low_ul
lre2,lgs2,1940496.813,1978279.858,100000000,1.302,high_dl
lgs2,lre2,1940496.813,1978279.858,300000000,1.302,low_ul
lgw,lgs2,1950259.321,1978063.37,1000000000,1.366,high_dl
lgs2,lgw,1950259.321,1978063.37,300000000,1.366,low_ul
lrov,lre2,1960882.331,2006234.599,150000000,0.06,low_ul
lre2,lrov,1960882.331,2006234.599,1000000000,0.06,high_dl
lgw,lgs3,1978063.37,2006537.83,100000000,1.368,high_dl
lgs3,lgw,1978063.37,2006537.83,300000000,1.368,low_ul
lre2,lgs3,1978279.858,2006879.781,100000000,1.333,high_dl
lgs3,lre2,1978279.858,2006879.781,300000000,1.333,low_ul
lre1,lgs1,1999586.408,2036379.187,100000000,1.29,high_dl
lgs1,lre1,1999586.408,2036379.187,300000000,1.29,low_ul
lgw,lgs1,2006537.83,2038564.195,100000000,1.369,high_dl
lgs1,lgw,2006537.83,2038564.195,300000000,1.369,low_ul
lre2,lgs2,2028242.308,2068767.29,100000000,1.296,high_dl
lgs2,lre2,2028242.308,2068767.29,300000000,1.296,low_ul
lgw,lgs2,2038564.195,2068075.795,1000000000,1.368,high_dl
lgs2,lgw,2038564.195,2068075.795,300000000,1.368,low_ul
lrov,lre2,2048007.207,2100312.081,150000000,0.062,low_ul
lre2,lrov,2048007.207,2100312.081,1000000000,0.062,high_dl
lgw,lgs3,2068075.795,2096366.898,100000000,1.366,high_dl
lgs3,lgw,2068075.795,2096366.898,300000000,1.366,low_ul
lre2,lgs3,2068767.29,2097200.818,100000000,1.322,high_dl
lgs3,lre2,2068767.29,2097200.818,300000000,1.322,low_ul
lre1,lgs1,2089875.72,2124561.829,100000000,1.276,high_dl
lgs1,lre1,2089875.72,2124561.829,300000000,1.276,low_ul
lgw,lgs1,2096366.898,2126575.435,100000000,1.361,high_dl
