source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type # Simulation starting time: 2026-01-01T00:00:00 UTC
mr2,mre2,251890.248,252366.980,15000000,0.053,low_ul
mre2,mr2,251890.248,252366.980,1000000,0.053,low_dl
mgs1,mre3,253021.103,297317.516,1000000,1201.826,trunk
mre3,mgs1,253021.103,297317.516,4000000,1201.826,trunk
mgs1,mre1,253021.189,258768.871,1000000,1201.806,trunk
mre1,mgs1,253021.189,258768.871,4000000,1201.806,trunk
mgs1,mre2,253513.719,257883.377,1000000,1201.803,trunk
mre2,mgs1,253513.719,257883.377,4000000,1201.803,trunk
mr2,mre3,256587.646,267835.417,15000000,0.076,low_ul
mre3,mr2,256587.646,267835.417,1000000,0.076,low_dl
mgs1,mre1,259882.244,265873.723,1000000,1201.766,trunk
mre1,mgs1,259882.244,265873.723,4000000,1201.766,trunk
mgs1,mre2,260222.391,264591.272,1000000,1201.763,trunk
mre2,mgs1,260222.391,264591.272,4000000,1201.763,trunk
mgs1,mre2,266931.063,271299.170,1000000,1201.724,trunk
mre2,mgs1,266931.063,271299.170,4000000,1201.724,trunk
mgs1,mre1,266979.273,272978.605,1000000,1201.725,trunk
mre1,mgs1,266979.273,272978.605,4000000,1201.725,trunk
mr2,mre1,269801.347,270450.838,15000000,0.054,low_ul
mre1,mr2,269801.347,270450.838,1000000,0.054,low_dl
mr1,mre2,272201.501,272390.847,15000000,0.053,low_ul
mre2,mr1,272201.501,272390.847,1000000,0.053,low_dl
mgs1,mre2,273639.732,278007.068,1000000,1201.689,trunk
mre2,mgs1,273639.732,278007.068,4000000,1201.689,trunk
mgs1,mre1,274076.263,280083.524,1000000,1201.688,trunk
mre1,mgs1,274076.263,280083.524,4000000,1201.688,trunk
mr2,mre1,277264.089,277473.030,15000000,0.054,low_ul
mre1,mr2,277264.089,277473.030,1000000,0.054,low_dl
mr1,mre2,278823.321,279070.752,15000000,0.053,low_ul
mre2,mr1,278823.321,279070.752,1000000,0.053,low_dl
mgs1,mre2,280348.400,284714.966,1000000,1201.657,trunk
mre2,mgs1,280348.400,284714.966,4000000,1201.657,trunk
mgs1,mre1,281173.206,287188.488,1000000,1201.655,trunk
mre1,mgs1,281173.206,287188.488,4000000,1201.655,trunk
mr1,mre3,283553.959,294856.552,15000000,0.076,low_ul
mre3,mr1,283553.959,294856.552,1000000,0.076,low_dl
mgs1,mre2,287057.065,291422.863,1000000,1201.629,trunk
mre2,mgs1,287057.065,291422.863,4000000,1201.629,trunk
mgs1,mre1,288270.094,294293.505,1000000,1201.626,trunk
mre1,mgs1,288270.094,294293.505,4000000,1201.626,trunk
mgs2,mre1,291641.969,294293.645,1000000,1201.608,trunk
mre1,mgs2,291641.969,294293.645,4000000,1201.608,trunk
