source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type 
mre1,mr1,869078.753,869783.777,1000000,0.054,low_dl
mr1,mre3,884522.178,886022.178,15000000,0.076,low_ul
mre3,mr1,884522.178,886022.178,1000000,0.076,low_dl
mr2,mre3,895776.335,897276.335,15000000,0.076,low_ul
mre3,mr2,895776.335,897276.335,1000000,0.076,low_dl
mgs2,mre3,895953.879,910353.879,1000000,1198.472,trunk
mre3,mgs2,895953.879,910353.879,4000000,1198.472,trunk
mgs2,mre2,910961.884,915264.341,1000000,1198.385,trunk
mre2,mgs2,910961.884,915264.341,4000000,1198.385,trunk
mr2,mre2,913394.253,913895.696,15000000,0.053,low_ul
mre2,mr2,913394.253,913895.696,1000000,0.053,low_dl
mr1,mre1,915997.047,916692.663,15000000,0.054,low_ul
mre1,mr1,915997.047,916692.663,1000000,0.054,low_dl
mgs2,mre2,917670.523,921273.789,1000000,1198.351,trunk
mre2,mgs2,917670.523,921273.789,4000000,1198.351,trunk
mr1,mre3,927492.663,928992.663,15000000,0.076,low_ul
mre3,mr1,927492.663,928992.663,1000000,0.076,low_dl
mr2,mre3,932328.191,933828.191,15000000,0.076,low_ul
mre3,mr2,932328.191,933828.191,1000000,0.076,low_dl
mgs1,mre3,944040.813,958440.813,1000000,1198.227,trunk
mre3,mgs1,944040.813,958440.813,4000000,1198.227,trunk
mr2,mre2,956459.798,956716.077,15000000,0.053,low_ul
mre2,mr2,956459.798,956716.077,1000000,0.053,low_dl
mr1,mre3,959305.720,960805.720,15000000,0.076,low_ul
mre3,mr1,959305.720,960805.720,1000000,0.076,low_dl
mr2,mre3,971788.168,973288.168,15000000,0.076,low_ul
mre3,mr2,971788.168,973288.168,1000000,0.076,low_dl
mgs2,mre3,982277.541,996677.541,1000000,1197.962,trunk
mre3,mgs2,982277.541,996677.541,4000000,1197.962,trunk
mgs2,mre2,998174.185,1002469.002,1000000,1197.897,trunk
mre2,mgs2,998174.185,1002469.002,4000000,1197.897,trunk
mr1,mre3,998679.426,1000179.426,15000000,0.076,low_ul
mre3,mr1,998679.426,1000179.426,1000000,0.076,low_dl
mr2,mre2,1000694.531,1001058.684,15000000,0.053,low_ul
mre2,mr2,1000694.531,1001058.684,1000000,0.053,low_dl
mgs2,mre2,1004882.820,1007674.554,1000000,1197.863,trunk
mre2,mgs2,1004882.820,1007674.554,4000000,1197.863,trunk
mr2,mre3,1011858.684,1013358.684,15000000,0.076,low_ul
mre3,mr2,1011858.684,1013358.684,1000000,0.076,low_dl
mgs1,mre1,1030420.678,1044820.678,1000000,1197.712,trunk
mre1,mgs1,1030420.678,1044820.678,4000000,1197.712,trunk
mr1,mre3,1034921.643,1036421.643,15000000,0.076,low_ul
mre3,mr1,1034921.643,1036421.643,1000000,0.076,low_dl
mr2,mre3,1046849.963,1048349.963,15000000,0.076,low_ul
mre3,mr2,1046849.963,1048349.963,1000000,0.076,low_dl
mgs2,mre3,1068600.097,1083000.097,1000000,1197.501,trunk
mre3,mgs2,1068600.097,1083000.097,4000000,1197.501,trunk
mr1,mre3,1073987.871,1075487.871,15000000,0.076,low_ul
mre3,mr1,1073987.871,1075487.871,1000000,0.076,low_dl
mr2,mre3,1083578.886,1085078.886,15000000,0.076,low_ul
mre3,mr2,1083578.886,1085078.886,1000000,0.076,low_dl
mgs2,mre2,1085386.439,1089673.887,1000000,1197.401,trunk
mre2,mgs2,1085386.439,1089673.887,4000000,1197.401,trunk
mgs2,mre2,1092095.070,1094076.338,1000000,1197.367,trunk
mre2,mgs2,1092095.070,1094076.338,4000000,1197.367,trunk
mr1,mre1,1093526.165,1094234.173,15000000,0.054,low_ul
mre1,mr1,1093526.165,1094234.173,1000000,0.054,low_dl
mr1,mre3,1110521.606,1112021.606,15000000,0.076,low_ul
mre3,mr1,1110521.606,1112021.606,1000000,0.076,low_dl
mgs1,mre3,1116800.559,1131200.559,1000000,1197.200,trunk
mre3,mgs1,1116800.559,1131200.559,4000000,1197.200,trunk
mr2,mre3,1120722.936,1122222.936,15000000,0.076,low_ul
mre3,mr2,1120722.936,1122222.936,1000000,0.076,low_dl
mr1,mre1,1131991.152,1132214.154,15000000,0.054,low_ul
mre1,mr1,1131991.152,1132214.154,1000000,0.054,low_dl
mr2,mre2,1137442.641,1137956.691,15000000,0.053,low_ul
mre2,mr2,1137442.641,1137956.691,1000000,0.053,low_dl
mr1,mre3,1147850.162,1149350.162,15000000,0.076,low_ul
mre3,mr1,1147850.162,1149350.162,1000000,0.076,low_dl
mgs2,mre2,1154921.994,1156754.706,1000000,1196.991,trunk
mre2,mgs2,1154921.994,1156754.706,4000000,1196.991,trunk
mgs2,mre2,1159181.386,1163462.801,1000000,1196.977,trunk
mre2,mgs2,1159181.386,1163462.801,4000000,1196.977,trunk
mr2,mre3,1159447.161,1160947.161,15000000,0.076,low_ul
mre3,mr2,1159447.161,1160947.161,1000000,0.076,low_dl
mgs2,mre2,1165890.017,1170170.895,1000000,1196.936,trunk
mre2,mgs2,1165890.017,1170170.895,4000000,1196.936,trunk
mgs2,mre2,1172598.646,1176878.989,1000000,1196.897,trunk
mre2,mgs2,1172598.646,1176878.989,4000000,1196.897,trunk
mr2,mre2,1181716.536,1182234.760,15000000,0.053,low_ul
mre2,mr2,1181716.536,1182234.760,1000000,0.053,low_dl
mr1,mre1,1185931.040,1186594.637,15000000,0.054,low_ul
mre1,mr1,1185931.040,1186594.637,1000000,0.054,low_dl
mr2,mre3,1195919.219,1197419.219,15000000,0.076,low_ul
mre3,mr2,1195919.219,1197419.219,1000000,0.076,low_dl
mgs1,mre3,1203180.682,1217580.682,1000000,1196.736,trunk
mre3,mgs1,1203180.682,1217580.682,4000000,1196.736,trunk
mr1,mre3,1222882.700,1224382.700,15000000,0.076,low_ul
mre3,mr1,1222882.700,1224382.700,1000000,0.076,low_dl
mr2,mre2,1224670.690,1225181.698,15000000,0.053,low_ul
mre2,mr2,1224670.690,1225181.698,1000000,0.053,low_dl
mr2,mre3,1235981.698,1237481.698,15000000,0.076,low_ul
mre3,mr2,1235981.698,1237481.698,1000000,0.076,low_dl
mgs2,mre2,1241242.240,1243959.972,1000000,1196.486,trunk
mre2,mgs2,1241242.240,1243959.972,4000000,1196.486,trunk
mgs2,mre2,1246393.554,1250668.081,1000000,1196.466,trunk
mre2,mgs2,1246393.554,1250668.081,4000000,1196.466,trunk
mgs2,mre2,1253102.181,1257376.192,1000000,1196.424,trunk
mre2,mgs2,1253102.181,1257376.192,4000000,1196.424,trunk
mgs2,mre2,1259810.806,1264084.301,1000000,1196.386,trunk
mre2,mgs2,1259810.806,1264084.301,4000000,1196.386,trunk
mr1,mre3,1262324.801,1263824.801,15000000,0.076,low_ul
